index ,restaurant_id ,list_position ,total_available_restaurants ,estimate_delivery_time ,menu_category   ,star_rating ,purchasers
6707,535,19,19,30,italian         ,            ,54
27278,331,15,58,10,turkish         ,          4 ,40
28446,238,23,43,15,american        ,            ,45
2211,266,6,80,35,asian           ,          5 ,30
12784,1667,18,47,20,indian          ,            ,40
21980,403,5,7,20,american        ,            ,56
24474,742,18,60,20,italian         ,          5 ,48
27739,903,3,22,20,italian         ,          5 ,30
17550,2200,82,82,20,italian         ,            ,63
8241,668,32,69,25,italian         ,          5 ,36
25111,2160,4,20,10,asian           ,          4 ,30
26402,2458,25,26,20,mexican         ,            ,35
27211,1722,6,23,10,italian         ,          5 ,40
5383,2277,11,32,20,indian          ,          5 ,77
16056,2547,4,24,15,vietnamese      ,          5 ,48
14359,1163,22,23,20,lebanese        ,            ,156
8762,571,29,33,30,italian         ,            ,48
17767,618,8,13,40,turkish         ,            ,48
24316,2862,4,34,10,american        ,          4 ,45
27467,2625,14,18,30,thai            ,            ,35
18827,2206,10,10,30,indian          ,            ,56
27722,1156,6,15,15,american        ,          5 ,35
25543,1258,3,5,30,italian         ,          5 ,56
18714,2614,22,28,30,indian          ,          5 ,56
26058,939,13,24,25,italian         ,            ,45
8671,2667,27,30,35,indian          ,            ,40
1475,1450,8,15,10,italian         ,          5 ,36
9403,2168,8,22,30,japanese        ,          5 ,80
7452,2702,35,55,40,mexican         ,            ,42
20236,978,3,7,10,italian         ,          4 ,54
9367,2185,22,53,20,italian         ,            ,72
8201,3023,3,7,20,indian          ,          5 ,56
1714,398,44,60,20,italian         ,            ,63
16752,2283,2,18,15,american        ,          5 ,64
3996,775,4,20,10,thai            ,          2 ,36
15885,767,68,80,20,indian          ,            ,63
22098,2026,16,22,30,indian          ,            ,45
14459,949,8,20,10,american        ,            ,81
10987,1392,12,32,15,italian         ,          5 ,35
709,2571,2,3,25,mexican         ,          5 ,35
20911,166,5,5,25,indian          ,            ,42
21784,1227,4,4,10,italian         ,            ,48
8048,2896,13,14,25,american        ,            ,81
13876,2544,26,40,20,american        ,            ,30
23107,1917,33,46,15,italian         ,            ,48
16026,1770,2,37,15,american        ,          5 ,54
22827,767,32,38,15,indian          ,            ,48
20479,2600,15,18,25,italian         ,            ,30
5728,2635,12,16,25,italian         ,            ,54
6435,2285,21,29,10,american        ,            ,45
11145,951,16,54,25,american        ,          3 ,30
21789,1771,1,30,15,american        ,          5 ,54
11767,2694,10,15,20,indian          ,            ,40
2555,799,6,28,15,italian         ,          5 ,35
14332,2554,46,47,20,greek           ,            ,42
16651,275,36,49,35,italian         ,          5 ,99
11205,1119,19,26,15,italian         ,          5 ,99
10312,1820,10,35,15,italian         ,          5 ,30
28449,667,2,7,35,italian         ,            ,81
24312,2229,30,38,10,american        ,            ,36
6215,183,4,6,10,mexican         ,            ,30
17405,176,5,6,30,indian          ,            ,48
17038,1500,14,15,20,italian         ,            ,40
26367,1788,48,53,10,indian          ,            ,56
28235,1560,9,32,20,american        ,          5 ,30
2866,1406,36,46,15,indian          ,          5 ,72
11849,2444,70,85,15,italian         ,            ,42
16414,1706,12,19,10,asian           ,          4 ,35
11506,1969,0,18,20,american        ,          5 ,48
3837,201,17,34,20,pizza           ,          4 ,30
5679,1740,1,14,10,american        ,          4 ,35
18199,2455,5,7,30,indian          ,          5 ,63
25899,1732,4,18,15,american        ,          5 ,54
26995,756,59,59,25,american        ,          5 ,40
684,2280,8,23,20,italian         ,          5 ,42
25187,1646,6,40,10,italian         ,          3 ,84
16843,2790,22,30,30,italian         ,            ,72
16308,155,28,30,30,mexican         ,            ,72
19710,1452,8,11,25,italian         ,            ,42
25535,2248,42,49,20,american        ,            ,70
14098,2716,32,33,10,indian          ,            ,42
13951,163,61,85,25,mexican         ,            ,45
5602,2000,5,6,20,italian         ,          5 ,36
13296,898,1,9,15,italian         ,          5 ,40
7110,1322,8,28,20,american        ,          5 ,40
18342,1444,2,10,10,american        ,          4 ,35
9839,2342,6,13,15,turkish         ,          5 ,35
15500,199,45,48,20,american        ,            ,36
5845,2598,38,42,45,italian         ,          5 ,81
18095,2045,3,35,15,american        ,          4 ,40
17499,2265,82,82,20,italian         ,            ,66
14928,973,10,35,20,american        ,          3 ,36
12537,2148,15,29,15,indian          ,          4 ,54
16256,574,12,16,15,indian          ,          3 ,40
11725,325,22,29,25,italian         ,            ,45
6021,2959,13,43,10,italian         ,          4 ,40
19013,370,12,12,30,turkish         ,            ,136
5533,2531,5,7,45,pizza           ,          5 ,45
12566,1478,18,43,20,thai            ,          5 ,30
13890,134,42,51,20,mexican         ,            ,36
7047,1604,25,62,15,american        ,          4 ,36
1384,914,10,13,10,american        ,            ,126
13875,165,19,20,25,indian          ,            ,63
2442,1530,10,30,30,american        ,          5 ,45
20946,1160,14,16,15,american        ,            ,60
16351,136,19,20,20,american        ,            ,256
15717,2586,14,18,30,indian          ,            ,88
27589,2831,21,58,10,thai            ,            ,45
8450,741,35,69,35,american        ,          5 ,42
28252,2889,4,7,45,asian           ,            ,36
22896,1738,15,24,20,thai            ,          3 ,35
12575,2671,9,11,20,turkish         ,          4 ,91
5732,1448,3,8,20,american        ,          3 ,91
10020,2758,25,34,30,indian          ,            ,42
22568,1840,12,51,20,indian          ,          5 ,54
26865,1538,2,53,10,american        ,          4 ,42
21610,2726,2,2,30,indian          ,          4 ,98
17408,788,6,7,30,american        ,            ,42
432,1696,11,14,20,american        ,          4 ,54
13997,2096,20,28,10,italian         ,          3 ,45
17815,2650,17,33,15,indian          ,          3 ,40
19967,2031,12,19,15,italian         ,          4 ,63
2752,1759,25,30,15,italian         ,          5 ,42
26960,107,6,9,30,japanese        ,          5 ,84
6629,2764,29,30,35,italian         ,            ,96
5099,2966,3,6,20,american        ,            ,42
12838,1692,4,9,10,italian         ,          5 ,56
1867,1733,2,15,20,american        ,          5 ,40
7733,2530,10,12,45,thai            ,          5 ,63
5976,1370,2,33,15,japanese        ,          4 ,36
125,2411,4,17,15,american        ,          4 ,56
452,172,2,4,10,italian         ,          3 ,30
10013,2609,19,51,25,pizza           ,          4 ,35
1607,2896,7,7,30,american        ,            ,36
16512,496,48,48,25,american        ,          4 ,91
13161,1536,14,36,25,american        ,          5 ,40
21912,2566,10,55,15,italian         ,          3 ,45
8148,2259,12,30,10,american        ,          5 ,49
8289,1970,13,15,15,italian         ,          1 ,35
13116,2787,13,20,35,mexican         ,          4 ,45
8769,2591,12,12,30,italian         ,            ,64
27384,1476,10,22,15,italian         ,          5 ,54
13079,1094,7,17,25,american        ,          3 ,98
23240,2376,1,33,25,american        ,          5 ,72
9398,996,5,7,15,italian         ,          5 ,35
5227,2573,30,32,35,indian          ,            ,40
6915,2854,72,78,35,indian          ,          4 ,30
20556,1915,20,36,10,italian         ,          5 ,64
17055,450,3,52,20,italian         ,          5 ,30
21883,2086,16,17,20,american        ,            ,48
10712,1976,2,37,10,american        ,          4 ,90
10461,2583,53,54,40,indian          ,            ,84
5999,1543,1,10,15,american        ,          4 ,96
2082,717,34,46,20,italian         ,          5 ,90
21324,2259,8,18,20,american        ,          5 ,42
9937,326,40,41,30,italian         ,            ,35
15510,542,31,33,40,american        ,            ,45
24211,2574,19,22,30,indian          ,            ,45
27305,1734,3,21,10,american        ,          4 ,35
17745,605,36,40,20,italian         ,            ,35
19293,2825,14,49,35,indian          ,            ,48
23937,1302,4,10,10,indian          ,          3 ,88
18840,2076,0,14,15,american        ,          5 ,35
8359,2953,15,17,20,indian          ,            ,30
7769,2375,12,36,15,american        ,          4 ,40
6434,2883,56,56,35,indian          ,            ,144
6919,492,23,31,35,mexican         ,            ,56
20380,352,8,36,15,american        ,          5 ,45
21082,501,37,38,30,indian          ,            ,112
7794,1724,10,20,30,italian         ,          1 ,48
23504,107,6,8,35,japanese        ,          5 ,30
20221,2734,4,10,20,pizza           ,          4 ,63
11593,911,5,38,15,italian         ,          5 ,40
12291,2652,9,10,35,pizza           ,            ,45
21957,1164,21,31,20,turkish         ,          2 ,48
25587,1656,9,26,15,lebanese        ,          4 ,45
23915,2395,26,44,15,italian         ,          4 ,48
3510,2667,32,33,25,indian          ,            ,30
16927,1747,5,15,25,italian         ,          3 ,54
11444,1530,8,29,25,american        ,          5 ,63
11675,2637,23,28,40,indian          ,            ,64
10153,385,16,16,15,italian         ,            ,176
16688,2083,2,20,15,american        ,          5 ,54
4,1355,3,22,15,american        ,          4 ,63
10891,2621,14,16,30,mexican         ,          4 ,45
1633,2235,23,30,30,indian          ,            ,84
12795,476,17,19,20,indian          ,          2 ,99
7810,2143,25,34,15,italian         ,            ,35
19381,2780,16,24,20,turkish         ,            ,40
22720,2600,24,29,35,italian         ,            ,78
23658,2464,8,43,20,american        ,          5 ,35
17519,1665,10,11,20,lebanese        ,            ,35
3394,1305,27,38,25,japanese        ,            ,48
467,1371,1,9,20,japanese        ,          4 ,54
8730,2480,6,7,20,pizza           ,            ,48
26034,1305,20,24,20,japanese        ,            ,56
27161,2134,5,9,15,italian         ,          5 ,128
7909,2787,15,24,30,mexican         ,          4 ,56
16072,574,28,34,20,indian          ,          3 ,77
4339,973,3,15,20,american        ,          3 ,84
9406,1849,4,9,10,italian         ,          5 ,42
19232,284,54,68,15,italian         ,          5 ,63
9559,1302,9,26,10,indian          ,          3 ,45
14938,412,4,20,15,american        ,          4 ,40
7259,1521,3,7,10,japanese        ,          5 ,54
14662,2643,21,21,30,indian          ,          5 ,56
22465,2060,16,18,20,greek           ,            ,42
23274,2199,4,27,25,japanese        ,          4 ,54
12492,2523,7,8,25,indian          ,          5 ,136
21766,2621,20,23,35,mexican         ,          4 ,84
21415,1813,27,45,20,american        ,            ,40
14394,248,37,83,20,thai            ,          4 ,54
20249,1888,0,19,20,american        ,          4 ,48
21531,1604,12,30,20,american        ,          4 ,88
7132,1131,1,17,15,american        ,          4 ,80
7257,2199,6,31,20,japanese        ,          4 ,40
15092,2985,4,60,15,american        ,          4 ,54
14092,112,20,38,15,american        ,            ,40
25906,1710,3,20,15,american        ,          4 ,56
19475,509,7,13,25,indian          ,            ,56
27272,2561,8,24,15,japanese        ,          5 ,90
11678,2630,14,14,35,american        ,            ,49
845,1134,4,43,10,american        ,          4 ,70
26934,2073,13,16,15,italian         ,            ,36
11243,820,21,60,10,american        ,            ,48
15047,486,11,24,20,italian         ,          1 ,30
17610,2574,44,49,25,indian          ,            ,48
24552,165,17,17,30,indian          ,            ,54
6276,336,2,4,20,italian         ,          4 ,54
3398,2286,59,59,20,indian          ,            ,30
8744,991,15,15,15,italian         ,            ,30
1399,2578,43,46,30,indian          ,          4 ,40
25308,155,51,54,30,mexican         ,            ,42
16904,2684,32,46,30,pizza           ,          3 ,30
26888,1336,5,36,10,american        ,          5 ,54
10469,605,64,69,30,italian         ,            ,56
18224,633,1,4,35,italian         ,          5 ,54
17761,2516,8,10,40,pizza           ,            ,72
9478,23,48,55,30,italian         ,            ,42
7965,2327,3,16,10,mexican         ,          5 ,80
796,1344,7,8,15,american        ,          5 ,48
6562,1993,25,30,30,indian          ,            ,49
21073,1863,6,18,20,thai            ,          5 ,36
6326,2530,33,42,35,thai            ,          5 ,112
28010,2484,50,66,20,pizza           ,            ,40
25216,557,3,18,15,japanese        ,          5 ,36
27249,1754,13,20,30,mexican         ,            ,30
5216,2235,5,7,25,indian          ,            ,72
22160,1367,15,33,10,american        ,          4 ,49
7554,1200,2,26,10,american        ,          4 ,63
17472,134,36,46,20,mexican         ,            ,72
11387,2787,27,41,30,mexican         ,          4 ,105
8395,473,20,22,40,american        ,          5 ,63
13509,2588,2,9,25,pizza           ,          3 ,64
8808,2033,32,46,15,indian          ,            ,45
9850,2315,9,10,20,mexican         ,            ,42
5534,2523,8,8,35,indian          ,          5 ,35
15905,919,3,13,10,thai            ,          2 ,40
11995,1185,14,15,10,italian         ,            ,42
8847,395,18,18,10,italian         ,          5 ,40
17593,1099,19,24,20,american        ,            ,30
12700,775,5,15,15,thai            ,          2 ,54
4336,1562,2,13,10,american        ,          4 ,42
26847,854,10,31,15,italian         ,          4 ,56
22197,2334,1,39,15,american        ,          4 ,30
21942,1066,30,74,10,american        ,          3 ,42
27783,2522,9,15,20,italian         ,          5 ,42
8365,1926,2,22,15,american        ,          5 ,30
26211,1795,0,6,10,american        ,          4 ,36
16105,660,4,15,15,indian          ,            ,40
20764,2630,47,50,30,american        ,            ,66
24843,966,6,10,10,mexican         ,            ,80
10278,1757,13,16,40,indian          ,            ,45
17747,182,59,66,10,american        ,            ,40
4611,1941,2,25,10,mexican         ,          4 ,54
10544,390,34,43,20,italian         ,            ,30
20684,2614,0,0,25,indian          ,          5 ,45
26085,2748,35,46,10,mexican         ,            ,49
13877,571,18,20,35,italian         ,            ,81
6907,308,8,8,20,american        ,            ,63
5880,2501,49,53,10,american        ,            ,36
26830,2842,2,15,15,vietnamese      ,          5 ,72
25412,949,1,4,15,american        ,            ,45
4192,237,11,40,15,american        ,          4 ,54
15265,1297,10,19,10,american        ,            ,42
5305,2858,13,30,20,thai            ,            ,42
8394,2819,8,10,20,italian         ,          1 ,54
28503,166,9,9,35,indian          ,            ,54
7714,2579,0,1,35,indian          ,          5 ,40
5307,2294,1,20,20,mexican         ,          4 ,48
3785,2446,7,9,20,american        ,          4 ,135
24815,2822,11,11,30,indian          ,            ,66
12373,1798,50,52,20,indian          ,            ,45
14852,1853,9,16,20,italian         ,          1 ,30
5462,1976,0,47,10,american        ,          4 ,49
27984,2929,4,4,15,italian         ,            ,90
25256,2547,10,22,30,vietnamese      ,          5 ,30
23669,2648,2,15,35,indian          ,          5 ,54
18430,1902,6,10,10,italian         ,          5 ,35
22471,165,22,23,35,indian          ,            ,66
25276,557,2,17,20,japanese        ,          5 ,72
5501,2112,4,17,15,thai            ,          4 ,30
2910,396,18,18,25,indian          ,            ,45
23235,1121,6,10,50,american        ,          4 ,96
27365,1005,2,4,20,italian         ,          5 ,54
17972,726,11,74,10,american        ,          4 ,42
3417,1813,35,58,15,american        ,            ,54
20613,2475,26,34,20,indian          ,            ,35
13087,1789,41,46,20,italian         ,            ,30
27307,2283,1,16,10,american        ,          5 ,45
12966,2218,1,19,15,american        ,          5 ,72
22213,2143,31,43,20,italian         ,            ,48
8030,2793,12,18,40,italian         ,            ,80
16205,726,7,46,10,american        ,          4 ,30
20161,694,10,20,15,indian          ,            ,56
8467,2769,58,58,35,pizza           ,            ,56
22414,1197,17,46,10,italian         ,          4 ,45
1789,854,15,30,20,italian         ,          4 ,42
26207,1324,3,14,10,japanese        ,          4 ,45
12114,2597,1,2,25,indian          ,            ,56
17390,1218,11,12,25,american        ,            ,42
1351,2403,16,18,25,indian          ,            ,30
14791,2227,18,29,30,japanese        ,          5 ,40
7938,787,29,52,20,japanese        ,          5 ,35
14688,2926,6,7,10,italian         ,          5 ,40
8780,1151,6,9,10,italian         ,            ,56
19443,2801,47,56,40,indian          ,            ,54
17592,975,27,31,15,american        ,          5 ,35
16665,833,3,69,20,american        ,          4 ,54
16140,998,28,45,30,indian          ,            ,35
2362,1119,7,10,15,italian         ,          5 ,56
1403,1331,23,25,15,american        ,            ,35
20375,2047,2,44,15,american        ,          4 ,36
18751,939,14,24,30,italian         ,            ,91
14276,2851,13,14,50,italian         ,            ,99
7487,1722,8,20,20,italian         ,          5 ,72
14525,1696,26,35,15,american        ,          4 ,42
10129,548,35,35,30,indian          ,            ,88
18488,2564,5,49,15,turkish         ,          5 ,108
14971,1512,17,29,15,indian          ,            ,104
8705,46,2,4,30,pizza           ,          4 ,49
15269,85,6,38,10,mexican         ,          5 ,30
25482,2189,15,34,20,american        ,          5 ,64
1880,2880,6,46,10,japanese        ,          5 ,72
19244,1710,2,26,15,american        ,          4 ,35
20356,2602,6,7,20,indian          ,          4 ,98
27557,713,5,34,20,american        ,          4 ,30
27882,2387,26,40,25,indian          ,          5 ,30
8371,53,10,10,10,thai            ,            ,78
12948,133,11,22,25,indian          ,          3 ,63
4559,305,2,4,20,american        ,          5 ,30
24683,2135,14,24,15,italian         ,            ,56
28456,647,4,5,20,italian         ,            ,72
28322,590,28,28,20,indian          ,            ,35
15366,473,14,16,45,american        ,          5 ,45
1810,748,1,14,20,japanese        ,          5 ,45
22025,852,6,7,20,italian         ,          4 ,153
17373,472,43,66,20,italian         ,            ,56
5514,2309,8,15,10,american        ,          5 ,35
27972,638,26,84,35,american        ,            ,42
6712,1151,16,23,15,italian         ,            ,64
11011,2807,41,43,35,italian         ,            ,120
2443,1119,5,6,10,italian         ,          5 ,63
12640,268,23,23,15,indian          ,            ,45
15895,2737,24,25,15,american        ,            ,126
12650,1469,10,22,10,indian          ,          4 ,42
27357,1714,34,41,15,american        ,          1 ,36
13199,1643,9,18,15,indian          ,          5 ,36
10950,2381,3,14,10,american        ,          3 ,56
656,973,4,20,20,american        ,          3 ,81
20779,1344,23,27,20,american        ,          5 ,40
18721,1826,6,7,15,indian          ,            ,35
19370,2996,3,3,40,indian          ,            ,63
323,1636,23,41,10,italian         ,            ,36
21396,2586,16,20,30,indian          ,            ,88
26323,968,2,16,10,japanese        ,          5 ,30
6636,425,6,6,30,indian          ,            ,342
5145,26,54,57,25,american        ,            ,30
5577,2894,20,35,40,turkish         ,          3 ,40
12703,829,2,7,15,japanese        ,          5 ,128
16202,2718,8,11,10,turkish         ,          2 ,70
13659,520,3,15,10,american        ,          5 ,40
27339,1530,4,14,30,american        ,          5 ,42
13702,896,21,31,15,italian         ,          5 ,80
12144,2591,4,5,40,italian         ,            ,35
370,2757,1,3,15,american        ,          4 ,99
20521,513,2,14,15,american        ,          5 ,108
24639,1035,3,17,20,thai            ,          5 ,63
4122,333,10,10,15,american        ,            ,63
5827,360,8,12,15,greek           ,          5 ,48
19566,1439,6,8,20,italian         ,            ,56
9162,544,20,27,10,american        ,          4 ,88
11920,1677,16,33,20,turkish         ,          3 ,56
6235,2556,2,15,25,pizza           ,          4 ,35
6443,2737,26,27,20,american        ,            ,40
1132,2235,18,25,25,indian          ,            ,30
2266,977,6,18,10,thai            ,            ,45
374,2338,1,59,20,american        ,          4 ,42
4529,2884,24,46,20,korean          ,          5 ,36
8558,1294,17,17,15,pizza           ,            ,40
24531,2022,15,38,15,lebanese        ,          5 ,63
28318,215,12,14,20,indian          ,            ,56
14837,1544,1,22,15,american        ,          5 ,45
7439,1734,2,19,10,american        ,          4 ,40
25158,1033,3,6,15,italian         ,          5 ,78
19750,1578,11,24,20,thai            ,          5 ,56
26571,2403,46,55,15,indian          ,            ,35
2076,2250,2,8,15,american        ,          5 ,80
14480,2680,3,13,15,indian          ,          3 ,30
9998,2843,19,20,35,indian          ,            ,42
2917,2114,4,7,10,thai            ,          4 ,99
6530,1888,1,25,20,american        ,          4 ,42
1419,668,13,30,25,italian         ,          5 ,36
14434,1416,8,14,10,italian         ,            ,36
27707,2208,4,10,20,indian          ,          3 ,54
27779,2366,7,15,20,american        ,          5 ,56
12740,333,8,9,20,american        ,            ,48
23826,1842,5,11,10,indian          ,          5 ,40
18617,2787,10,15,30,mexican         ,          4 ,120
9812,2449,22,26,35,pizza           ,            ,42
116,900,5,90,10,mexican         ,          5 ,36
9898,315,2,17,10,american        ,          5 ,49
21083,130,8,8,20,italian         ,            ,135
22097,1818,3,31,15,american        ,          4 ,140
24758,1,57,60,40,indian          ,            ,48
21186,492,8,10,30,mexican         ,            ,105
21729,2137,10,14,15,italian         ,          5 ,70
15770,1383,58,63,20,american        ,            ,120
18725,746,3,26,10,american        ,          5 ,72
15829,1792,13,29,15,italian         ,          5 ,54
26020,1177,3,13,10,thai            ,          5 ,54
23408,2191,32,46,30,japanese        ,          4 ,30
26646,135,75,76,25,italian         ,            ,45
17278,2227,16,29,20,japanese        ,          5 ,35
1555,1160,10,13,30,american        ,            ,35
25636,1841,8,40,10,american        ,          5 ,35
8529,2109,12,14,20,indian          ,            ,30
24400,334,10,44,15,american        ,          3 ,30
10329,82,19,31,20,american        ,            ,42
12540,2487,23,30,25,italian         ,          5 ,64
89,1870,2,19,20,american        ,          4 ,35
21561,1322,5,16,15,american        ,          5 ,35
13175,2530,33,43,45,thai            ,          5 ,63
19295,138,8,15,15,american        ,            ,48
24049,473,22,27,30,american        ,          5 ,35
3071,134,59,68,25,mexican         ,            ,56
13015,926,13,56,20,italian         ,            ,35
26162,593,18,39,20,italian         ,          3 ,42
18360,2248,30,35,20,american        ,            ,63
10481,2599,19,20,45,american        ,            ,45
20219,2776,6,19,10,japanese        ,          5 ,42
15502,1234,36,39,20,indian          ,            ,49
15281,1726,6,26,20,italian         ,            ,49
17560,2295,32,33,30,indian          ,          3 ,49
15342,2138,11,12,15,italian         ,            ,42
777,671,3,10,25,italian         ,          5 ,35
9099,2045,2,24,20,american        ,          4 ,40
22357,1874,40,63,10,lebanese        ,          3 ,45
940,1275,23,74,15,italian         ,          5 ,45
21145,1877,34,40,10,italian         ,            ,49
25563,694,7,13,20,indian          ,            ,99
9571,1265,4,6,15,italian         ,          4 ,42
25949,2705,24,50,10,lebanese        ,          5 ,45
23892,1087,8,41,15,american        ,          3 ,36
19495,1890,21,30,30,mexican         ,            ,42
4398,673,23,52,35,indian          ,          3 ,96
14863,2251,6,11,20,american        ,          5 ,72
31,1014,1,13,10,american        ,          4 ,135
24447,406,16,31,20,american        ,          3 ,45
24241,1210,1,34,15,american        ,          4 ,48
5044,2567,31,37,40,italian         ,            ,36
24426,2029,4,13,20,indian          ,          5 ,36
27421,2297,2,14,10,american        ,          5 ,49
13590,1827,63,67,25,asian           ,            ,48
2175,2702,25,40,30,mexican         ,            ,48
5404,2348,4,66,20,american        ,          5 ,49
2985,2118,1,8,15,german          ,          4 ,63
2208,538,48,49,35,italian         ,            ,30
548,2620,21,34,20,italian         ,            ,80
15268,406,6,16,30,american        ,          3 ,30
27029,460,11,20,15,american        ,          4 ,56
946,1353,14,26,20,turkish         ,          4 ,64
25522,671,13,22,35,italian         ,          5 ,30
21499,2487,2,2,30,italian         ,          5 ,45
14097,392,18,20,45,lebanese        ,            ,64
25954,1731,10,22,20,italian         ,          5 ,40
14184,2309,22,46,15,american        ,          5 ,54
28336,131,79,85,45,indian          ,            ,42
3353,2599,16,17,30,american        ,            ,30
10088,2600,8,10,25,italian         ,            ,135
1681,2899,12,19,25,italian         ,          1 ,48
24517,2848,14,15,20,indian          ,            ,70
1558,2331,58,60,20,mexican         ,            ,54
23582,2040,4,57,15,american        ,          5 ,30
14841,1358,5,8,20,indian          ,          5 ,49
26159,1395,15,30,15,mexican         ,          2 ,35
2699,2788,8,69,20,mexican         ,          4 ,54
4200,1841,4,23,10,american        ,          5 ,48
14432,826,35,39,20,mexican         ,          5 ,35
12696,1089,0,8,15,american        ,          5 ,54
10135,550,30,30,35,italian         ,            ,72
20498,1234,22,25,20,indian          ,            ,54
26047,2957,26,28,40,indian          ,            ,40
3733,769,4,45,10,mexican         ,          5 ,63
7829,666,5,9,30,thai            ,          4 ,40
12093,2637,23,26,30,indian          ,            ,96
1720,2703,8,10,20,indian          ,            ,42
6170,237,9,35,10,american        ,          4 ,60
20763,2299,21,23,15,italian         ,            ,120
18332,2216,4,27,10,american        ,          5 ,72
17257,312,48,48,25,italian         ,            ,54
17542,562,24,27,15,italian         ,            ,30
3114,387,12,22,20,turkish         ,            ,81
23364,2640,5,8,45,italian         ,          4 ,54
16850,735,22,53,20,indian          ,          5 ,40
25213,3030,4,39,10,mexican         ,          5 ,72
17308,542,24,29,40,american        ,            ,64
7133,711,10,39,20,american        ,          4 ,84
25657,2682,24,40,45,indian          ,          5 ,48
12035,2226,12,12,30,indian          ,            ,42
25841,1109,4,11,10,italian         ,          4 ,40
17296,284,19,24,20,italian         ,          5 ,35
16330,2566,6,30,15,italian         ,          3 ,72
24239,2666,10,38,40,indian          ,          5 ,40
18085,2031,9,14,20,italian         ,          4 ,120
15570,2785,15,15,40,indian          ,            ,63
19860,2755,14,14,15,mexican         ,          5 ,54
3297,2942,53,53,20,indian          ,            ,54
17434,260,6,9,25,italian         ,          5 ,54
6367,2862,3,17,15,american        ,          4 ,40
26324,492,12,16,35,mexican         ,            ,216
17677,1190,47,48,20,lebanese        ,            ,45
21703,815,19,44,15,american        ,          5 ,42
564,2731,31,54,20,indian          ,          5 ,49
5346,2905,20,28,25,italian         ,          1 ,40
19610,2616,14,22,30,italian         ,            ,30
10903,2216,1,25,15,american        ,          5 ,63
18814,375,2,24,15,italian         ,          5 ,42
5291,914,7,13,10,american        ,            ,40
6647,1709,0,11,15,american        ,          4 ,35
1874,1033,10,19,10,italian         ,          5 ,48
14615,496,26,26,30,american        ,          4 ,40
20743,619,4,6,35,italian         ,            ,48
18022,2995,11,13,20,indian          ,          5 ,40
24436,3028,3,8,20,mexican         ,          5 ,133
13433,2724,14,14,20,american        ,            ,45
18942,2187,26,26,20,indian          ,            ,40
12369,1297,4,9,15,american        ,            ,35
14970,1849,8,24,10,italian         ,          5 ,49
8146,2989,3,3,20,italian         ,            ,36
7740,2561,4,15,10,japanese        ,          5 ,56
13029,227,3,26,10,american        ,          3 ,42
350,702,12,65,30,japanese        ,          5 ,40
1688,2327,4,16,10,mexican         ,          5 ,81
1356,305,7,18,15,american        ,          5 ,56
19506,337,64,66,30,indian          ,            ,48
16711,777,1,14,10,american        ,          5 ,30
17466,1776,26,38,15,indian          ,          4 ,48
689,2602,22,29,20,indian          ,          4 ,40
24120,2056,1,7,10,italian         ,          5 ,42
21462,1218,47,47,20,american        ,            ,40
20465,2731,21,31,20,indian          ,          5 ,30
13515,451,16,19,35,thai            ,            ,42
25335,1243,9,28,15,american        ,            ,60
11873,1159,3,4,20,mexican         ,            ,40
8478,2558,29,30,30,american        ,            ,30
18235,1167,8,15,10,italian         ,          5 ,36
14387,1163,23,24,20,lebanese        ,            ,84
26926,2439,4,20,10,american        ,          3 ,30
2767,480,8,11,30,italian         ,            ,49
24897,534,4,18,15,mexican         ,          4 ,36
2027,231,8,18,25,italian         ,            ,35
22939,3021,25,26,20,indian          ,            ,36
1528,2562,14,14,35,italian         ,            ,40
22050,351,21,40,10,thai            ,          5 ,48
12280,582,46,46,35,italian         ,            ,35
2704,881,21,31,15,italian         ,          4 ,56
5188,82,54,77,20,american        ,            ,36
22333,1196,5,13,20,american        ,          5 ,54
25707,1073,1,18,15,american        ,          4 ,54
8630,416,27,28,25,indian          ,            ,48
14187,538,57,58,25,italian         ,            ,40
24470,952,5,25,10,italian         ,          4 ,35
27815,1613,5,14,10,indian          ,            ,48
12031,2543,5,7,45,pizza           ,            ,48
20253,1818,2,23,15,american        ,          4 ,81
25699,2142,3,5,20,italian         ,          5 ,104
7657,188,18,18,30,indian          ,            ,72
17848,1437,4,22,15,japanese        ,          3 ,35
16168,1004,1,31,15,american        ,          5 ,40
23413,875,3,19,10,italian         ,          5 ,35
21623,1333,2,13,10,Healthy options ,          5 ,45
16263,1770,1,18,10,american        ,          5 ,64
23336,1074,6,18,15,american        ,          4 ,48
4425,761,14,20,25,american        ,          5 ,40
18516,2407,7,12,15,indian          ,          5 ,63
19929,2534,51,79,20,turkish         ,          4 ,40
26125,2477,24,38,40,italian         ,          5 ,54
13572,2782,9,15,30,indian          ,          4 ,40
15604,1483,7,18,15,italian         ,            ,30
6401,536,6,12,10,american        ,          5 ,54
22793,2883,67,67,40,indian          ,            ,120
4190,1573,6,75,10,vietnamese      ,          5 ,36
24491,576,17,17,25,american        ,            ,56
13541,1938,3,15,10,italian         ,          4 ,30
12634,985,14,20,20,indian          ,            ,30
3740,574,10,13,15,indian          ,          3 ,35
24997,2544,16,25,20,american        ,            ,54
19015,82,40,51,15,american        ,            ,72
13577,2637,34,40,40,indian          ,            ,144
18784,141,2,3,20,american        ,            ,35
6281,2992,16,18,25,indian          ,          1 ,49
15527,438,17,22,20,italian         ,            ,88
12300,427,22,22,25,indian          ,            ,54
